X,Y,GEO_ID,STATE,NAME,Region
-69.225321720314653,45.369480904354013,0400000US23,23,Maine,Front-End
-71.795455595661565,42.252292849256122,0400000US25,25,Massachusetts,Front-End
-85.43751123603495,44.353227744222195,0400000US26,26,Michigan,Front-End
-109.64506843878429,47.033547909289858,0400000US30,30,Montana,Back-End
-116.65539608938195,39.356459155671757,0400000US32,32,Nevada,Back-End
-74.660991631483739,40.183926648796003,0400000US34,34,New Jersey,Front-End
-75.501983559681875,42.939295129778117,0400000US36,36,New York,Front-End
-79.355416229484277,35.539804043091138,0400000US37,37,North Carolina,DevOps
-82.790176984145944,40.293328454370801,0400000US39,39,Ohio,Front-End
-77.799531894373928,40.87381687285712,0400000US42,42,Pennsylvania,Front-End
-71.552502750364667,41.676193543678899,0400000US44,44,Rhode Island,Front-End
-86.343290955954387,35.842987598575398,0400000US47,47,Tennessee,DevOps
-99.073439305735405,31.010991277913885,0400000US48,48,Texas,DevOps
-111.67820486515582,39.323788862245614,0400000US49,49,Utah,Back-End
-120.45017298648182,47.381077777891662,0400000US53,53,Washington,Back-End
-90.011131754924207,44.638290158024802,0400000US55,55,Wisconsin,Front-End
-66.466199556059607,18.222746288438437,0400000US72,72,Puerto Rico,Other
-76.764460812602024,39.030413067933956,0400000US24,24,Maryland,Front-End
-86.828434680371146,32.789692131228755,0400000US01,01,Alabama,DevOps
-152.22306755318905,64.209842814788985,0400000US02,02,Alaska,Go-To-Market
-111.66458282193013,34.293260852755651,0400000US04,04,Arizona,Back-End
-92.439275568281261,34.899740585158362,0400000US05,05,Arkansas,DevOps
-119.61076706930265,37.246120976855487,0400000US06,06,California,Back-End
-105.54781991091092,38.998549290485606,0400000US08,08,Colorado,Back-End
-72.725762871195542,41.620550067890335,0400000US09,09,Connecticut,Front-End
-75.500176525154401,38.991777065186376,0400000US10,10,Delaware,Front-End
-77.016299781604317,38.904726974783429,0400000US11,11,District of Columbia,Front-End
-82.501623193458443,28.640962817740977,0400000US12,12,Florida,DevOps
-83.446061040561773,32.64908013816747,0400000US13,13,Georgia,DevOps
-156.38352571290486,20.262886756483365,0400000US15,15,Hawaii,Other
-114.65932614227999,44.389123879560735,0400000US16,16,Idaho,Back-End
-89.198282430023497,40.064744275238809,0400000US17,17,Illinois,Front-End
-86.275288959124211,39.908531566178397,0400000US18,18,Indiana,Front-End
-93.500037525118316,42.074619942712395,0400000US19,19,Iowa,Front-End
-98.380215768856715,38.484699232527994,0400000US20,20,Kansas,Front-End
-85.290490992910961,37.526661801217081,0400000US21,21,Kentucky,Front-End
-91.980479563921847,31.052640257169092,0400000US22,22,Louisiana,DevOps
-94.308699111641857,46.316446382555434,0400000US27,27,Minnesota,Front-End
-89.665102369515864,32.750397512072666,0400000US28,28,Mississippi,DevOps
-92.477421773097433,38.367615585686011,0400000US29,29,Missouri,Front-End
-99.810804028412875,41.527145631397651,0400000US31,31,Middleman,Front-End
-71.577603318782209,43.685685689816459,0400000US33,33,New Hampshire,Front-End
-106.10837873693659,34.421365369280942,0400000US35,35,New Mexico,Back-End
-100.46931455002188,47.446336034616657,0400000US38,38,North Dakota,Front-End
-97.508440663477572,35.5834959399455,0400000US40,40,Oklahoma,DevOps
-120.55529048267857,43.936730975964885,0400000US41,41,Oregon,Back-End
-80.895498853700545,33.9071047152338,0400000US45,45,South Carolina,DevOps
-100.23048944150855,44.436152017463542,0400000US46,46,South Dakota,Front-End
-72.662716484019896,44.075182098691606,0400000US50,50,Vermont,Front-End
-78.805623626632126,37.515389783150304,0400000US51,51,Virginia,DevOps
-80.613854461689613,38.642510055181717,0400000US54,54,West Virginia,DevOps
-107.55144626079414,42.999635376446832,0400000US56,56,Wyoming,Back-End
-101.5818912832754,35.279392042766645,0400000US57,57,Texas2,DevOps
